FECHA CORTA,close,Rendimiento Simple,Rendimiento Logaritmico,,,,,,
30/08/2024,59119.47478,,,,,,,,
31/08/2024,58969.89837,-0.00253,-0.002533,,,,simple,rend. Promedio,0.205%
01/09/2024,57325.48769,-0.027886,-0.028282,,,,Log,rend. Promedio,0.177%
02/09/2024,59112.47951,0.031173,0.030697,,,,Riesgo Log,2.3499%,
03/09/2024,57431.02299,-0.028445,-0.028857,,,,Riesgo Simple,2.3646%,
04/09/2024,57971.54082,0.009412,0.009368,,,,,,
05/09/2024,56160.48726,-0.03124,-0.031739,,,,,,
06/09/2024,53948.75224,-0.039382,-0.040179,,,,,,
07/09/2024,54139.68945,0.003539,0.003533,,,,,,
08/09/2024,54841.56635,0.012964,0.012881,,,,,,
09/09/2024,57019.53476,0.039714,0.038946,,,,,,
10/09/2024,57648.71241,0.011034,0.010974,,,,,,
11/09/2024,57343.17054,-0.0053,-0.005314,,,,,,
12/09/2024,58127.01084,0.013669,0.013577,,,,,,
13/09/2024,60571.29916,0.042051,0.041191,,,,,,
14/09/2024,60005.11916,-0.009347,-0.009391,,,,,,
15/09/2024,59182.83533,-0.013704,-0.013798,,,,,,
16/09/2024,58192.50687,-0.016733,-0.016875,,,,,,
17/09/2024,60308.53759,0.036363,0.035717,,,,,,
18/09/2024,61649.67873,0.022238,0.021994,,,,,,
19/09/2024,62940.45677,0.020937,0.020721,,,,,,
20/09/2024,63192.97508,0.004012,0.004004,,,,,,
21/09/2024,63394.83874,0.003194,0.003189,,,,,,
22/09/2024,63648.70989,0.004005,0.003997,,,,,,
23/09/2024,63329.80239,-0.00501,-0.005023,,,,,,
24/09/2024,64301.96727,0.015351,0.015234,,,,,,
25/09/2024,63143.14597,-0.018022,-0.018186,,,,,,
26/09/2024,65181.0207,0.032274,0.031764,,,,,,
27/09/2024,65790.66165,0.009353,0.00931,,,,,,
28/09/2024,65887.64878,0.001474,0.001473,,,,,,
29/09/2024,65635.30815,-0.00383,-0.003837,,,,,,
30/09/2024,63329.49813,-0.035131,-0.035763,,,,,,
01/10/2024,60837.0097,-0.039357,-0.040153,,,,,,
02/10/2024,60632.78627,-0.003357,-0.003363,,,,,,
03/10/2024,60759.40133,0.002088,0.002086,,,,,,
04/10/2024,62067.47745,0.021529,0.0213,,,,,,
05/10/2024,62089.94846,0.000362,0.000362,,,,,,
06/10/2024,62818.95448,0.011741,0.011673,,,,,,
07/10/2024,62236.65937,-0.009269,-0.009313,,,,,,
08/10/2024,62131.96785,-0.001682,-0.001684,,,,,,
09/10/2024,60582.10097,-0.024945,-0.025261,,,,,,
